MJD,CTR,STAT_ERR,CTR_NORM,Timestamp
60279.142007937815,1.5555555555555556,0.0,0.00275027502750275,2023-12-01 03:24:29.485827208
60279.14201951189,1.4444444444444444,0.0,0.0022002200220022005,2023-12-01 03:24:30.485827446
60279.14203108597,1.3333333333333335,0.0,0.001650165016501651,2023-12-01 03:24:31.485827684
60279.14204266004,1.2222222222222223,0.0,0.0011001100110011007,2023-12-01 03:24:32.485827208
60279.14205423411,1.1111111111111112,0.0,0.0005500550055005504,2023-12-01 03:24:33.485826969
60279.14206580819,1.0,1.0,0.0,2023-12-01 03:24:34.485827684
60279.14207738226,1.0,0.0,0.0,2023-12-01 03:24:35.485827446
60279.14208895633,1.0,0.0,0.0,2023-12-01 03:24:36.485826969
60279.142100530415,1.0,0.0,0.0,2023-12-01 03:24:37.485827923
60279.142112104484,1.0,0.0,0.0,2023-12-01 03:24:38.485827446
60279.14212367855,1.0,0.0,0.0,2023-12-01 03:24:39.485826969
60279.14213525264,1.0,0.0,0.0,2023-12-01 03:24:40.485827923
60279.14214682671,1.0,1.0,0.0,2023-12-01 03:24:41.485827446
60279.14215840078,1.125,0.0,0.0006188118811881185,2023-12-01 03:24:42.485827208
60279.14216997485,1.25,0.0,0.0012376237623762379,2023-12-01 03:24:43.485827446
60279.14218154893,1.375,0.0,0.0018564356435643563,2023-12-01 03:24:44.485827684
60279.142193123,1.5,0.0,0.002475247524752475,2023-12-01 03:24:45.485827208
60279.14220469708,1.625,0.0,0.003094059405940594,2023-12-01 03:24:46.485827446
60279.14221627115,1.75,0.0,0.0037128712871287136,2023-12-01 03:24:47.485827684
60279.14222784522,1.875,0.0,0.004331683168316831,2023-12-01 03:24:48.485827208
60279.1422394193,2.0,1.4142135623730951,0.0049504950495049506,2023-12-01 03:24:49.485827446
60279.14225099338,1.8888888888888888,0.0,0.0044004400440044,2023-12-01 03:24:50.485827684
60279.142262567446,1.7777777777777777,0.0,0.00385038503850385,2023-12-01 03:24:51.485827208
60279.142274141515,1.6666666666666667,0.0,0.0033003300330033012,2023-12-01 03:24:52.485826969
60279.1422857156,1.5555555555555556,0.0,0.00275027502750275,2023-12-01 03:24:53.485827684
60279.14229728967,1.4444444444444444,0.0,0.0022002200220022005,2023-12-01 03:24:54.485827446
60279.14230886374,1.3333333333333335,0.0,0.001650165016501651,2023-12-01 03:24:55.485826969
60279.14232043782,1.2222222222222223,0.0,0.0011001100110011007,2023-12-01 03:24:56.485827923
60279.14233201189,1.1111111111111112,0.0,0.0005500550055005504,2023-12-01 03:24:57.485827446
60279.14234358596,1.0,1.0,0.0,2023-12-01 03:24:58.485826969
60279.14235516004,1.1428571428571428,0.0,0.0007072135785007065,2023-12-01 03:24:59.485827208
60279.142366734115,1.2857142857142856,0.0,0.0014144271570014138,2023-12-01 03:25:00.485827446
60279.142378308185,1.4285714285714286,0.0,0.002121640735502122,2023-12-01 03:25:01.485827208
60279.14238988226,1.5714285714285714,0.0,0.0028288543140028285,2023-12-01 03:25:02.485827446
